1,202Z,Slim Margins,96.9016093863
2,536C,Life,89.8296068938
3,8675A,Fuzzy Wuzzy 2.0,88.23446636
4,2719B,Cerberus,85.1860701524
5,2719D,Bow Tie Bot,74.0557451745
6,17080A,Fenghua H-1    ,73.6276710509
7,8110X,The Ribbits-MWHS,72.4327464933
8,323Y,Flux Capacitors,71.9910892595
9,4004X,X-treme,70.2529172561
10,3018A,TECHNA PWN ,69.8409711359
11,590V,[TVA] Footbaux Princess  ,69.035380174
12,2501J,Full Metal Jackets,68.4829782262
13,1483B,Ajax,68.2289001506
14,80075P,vEXO,68.1965275758
15,41364A,TRB robotics,66.121830383
16,244A,N. N. G.,66.0769789464
17,1814D,[TVA] D LTA III,65.1416210428
18,1045A,OPS - Legion of Doom,64.5790622798
19,7133B,RoboHawks B,61.8840188173
20,2131W,Radioactive Bananas,61.7249449745
21,321A,Dire Wolf Alpha,58.890467315
22,1115C,Hybrid Theory,58.445862168
23,6302Y,Socket Rockets,58.0904799403
24,1064A,OPS - Nebraska Nerd Herd,57.6951073188
25,77788J,Cyber Eagles,57.2371549025
26,134F,Team Discovery - Foxtrot,56.9364579517
27,5W,The Iron Storm,56.6529072104
28,1492W,W.A.S.A.B.I.,56.1302014221
29,9922X,Wolves- VEX Offenders,56.0110093242
30,355E,Eagle Robotics,55.3412496941
31,134J,Team Discovery - Juliet,54.974081517
32,99451A,Louisville Centrons 1,54.397066723
33,974X,Cyberbrains,53.8427499008
34,1200Z,Syntax Error,53.4702557764
35,8771Y,Team Calabasas,53.0772196633
36,9447A,Alpha,51.9391978852
37,2886B,Bull Dawgs B,51.7290483465
38,288C,Rock3t Squad,51.6260059991
39,7536B,Rush Hour,51.4847771583
40,10C,Exothermic Catastrophe,51.4234942506
41,5M,Mc2,50.9770305542
42,4255B,MCTC JV,50.1407422266
43,2398B,Tech Walkers,49.6125917383
44,2114B,Rubberband Robotics,49.1973346652
45,500K,Inferno,48.6610556535
46,5450C,Freeze Frame C,48.3460751219
47,920C,SLO - Botics,48.1684958866
48,4149C,Iron Chargers (C Team),48.089743186
49,248A,The C.A.N. C.A.N.s,48.0399242392
50,7686A,Rookie Mistake,47.7791308351
51,9909B,Finn McMissile,47.7312675923
52,244D,It Only Gets Better,47.0176662268
53,1563C,Brobotics,46.7404625105
54,91A,VEXMEN: Archangel,46.1565557218
55,7368W,CCHS Brain Blast,44.7376831364
56,1506A,Team DRED,44.2436048163
57,6891X, (   )  ,43.0535345819
58,311Y,Sinton Pirates,42.3318192994
59,6219A,Neenah Rocket Robotics A,41.2008772934
60,916B,IronCATS,41.1037310253
61,2567A,Porta-Botz!,40.8075710542
62,53D,Area 53,40.6517363093
63,21636A,Riptide,40.4379268344
64,1028A,Null and Void,40.0273659314
65,404Z,ECR 404,39.8396553943
66,4410B,Technocracy-Bravo,38.0201763496
67,3815G,&quot;G&quot;ot into college,37.2409252356
68,7776A,SHHS Bears,37.1478516278
69,1859W,JCTC Robotics Phoenix,36.3072552196
70,7776Z,SHHS Bears,35.4307519046
71,98377F,Tigris ex Machina VI,34.3194183278
72,9050C,G.A.T. Wrenches,32.6569385803
73,21246Z,Dublin Robotics - Z team,31.7875031699
74,6844B,Dangerously Unpredictable,31.4522203743
75,42368B,X Getit,30.7682732061
76,4825A,Full Metal Robotics (A),30.2567972608
77,8332A,Quantum Robotics,30.0571139258
78,2019B,Damage++,28.8982010253
79,333E,Brotherhood of Steel,28.2533605346
80,1933B,The Engineers,28.1276588407
81,98377A,Tigris ex Machina I,26.5902759149
82,624P,CRyptonite 624P,25.2717263892
83,2567Y,Porta-Botz!,24.4157532712
84,74624A,DHS Tigers,23.6551188758
85,7209X,Excelsior A.M.E. Eagles,23.3378311631
86,21246C,Dublin Robotics -Crafters,22.870703385
87,12F,Potomac School Robotics,20.2373509566
88,9065C,Phantom Robotics,20.1091785919
89,248G,Full Force Forward,19.266793094
90,12J,Beep Bop,18.9051357672
91,6024E,Sab-bot-tage,15.2340171783
